Scientific Name,Common Name,Species ID,Link
Agave amica 'The Pearl',Double Pearl Tuberose,2349,https://www.nparks.gov.sg/florafaunaweb/flora/2/3/2349
Agave angustifolia 'Marginata',Variegated Caribbean Agave,1605,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1605
Agave attenuata 'Silver Trim',-,6336,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6336
Agave desmetiana 'El Mirador's Gold',Smooth Agave,5941,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5941
Agave desmetiana Jacobi,Smooth Agave,5934,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5934
Agave desmetiana 'Variegata',Dwarf Variegated Agave,3756,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3756
Agave guiengola,-,7087,https://www.nparks.gov.sg/florafaunaweb/flora/7/0/7087
Agave mitis,-,6822,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6822
Agave mitis var. mitis 'Nova',-,6246,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6246
Agave pachycentra Trel.,Agave,6071,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6071
Agave parryi subsp. parryi,Artichoke Agave,6261,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6261
Agave potatorum (variegated),-,6784,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6784
Agave potatorum Zucc.,-,5942,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5942
Agave tequilana F.A.C.Weber,Tequila Agave,1606,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1606
Agave tequilana 'Sunrise',Sunrise Tequila Agave,6324,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6324
Agave univittata,Thorncrest Agave,6823,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6823
Agave univittata 'Quadricolor',Quadricolor Century Plant,5859,https://www.nparks.gov.sg/florafaunaweb/flora/5/8/5859
Agave victoriae-reginae × asperrima,-,6338,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6338
Agave victoriae-reginae T.Moore,Queen Victoria's Agave,6074,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6074
Agave victoriae-reginae 'Variegated',-,7123,https://www.nparks.gov.sg/florafaunaweb/flora/7/1/7123
Agave vilmoriniana A.Berger,Octopus agave,5567,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5567
Agelaea borneensis (Hook.f.) Merr.,Akar Kachang-kachang,6409,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6409
Agelaea macrophylla (Zoll.) Leenh.,Akar Pinang Ketul,7978,https://www.nparks.gov.sg/florafaunaweb/flora/7/9/7978
Ageratum conyzoides (L.) L.,White Weed,5183,https://www.nparks.gov.sg/florafaunaweb/flora/5/1/5183
Ageratum houstonianum Mill.,Floss Flower,5213,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5213
Aglaia argentea Blume,Silver Boodyara,3508,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3508
Aglaia cucullata (Roxb.) Pellegr.,-,8757,https://www.nparks.gov.sg/florafaunaweb/flora/8/7/8757
Aglaia korthalsii Miq.,-,3509,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3509
Aglaia macrocarpa (Miq.) Pannell,-,6576,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6576
Aglaia odorata (Dwarf),-,1608,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1608
Aglaia odorata Lour.,Chinese Perfume Plant,1609,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1609
Aglaonema 'Adelia',-,5963,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5963
Aglaonema commutatum (Hook.f.) Nicolson var. maculatum,Philippine Evergreen,1613,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1613
Aglaonema commutatum 'Malay Beauty',-,1612,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1612
Aglaonema commutatum Schott,Chinese Evergreen,1611,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1611
Aglaonema commutatum 'Tricolor',-,1617,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1617
Aglaonema costatum N.E.Br.,Spotted Evergreen,1614,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1614
Aglaonema 'Crete',-,6667,https://www.nparks.gov.sg/florafaunaweb/flora/6/6/6667
Aglaonema cultivars,-,8442,https://www.nparks.gov.sg/florafaunaweb/flora/8/4/8442
Aglaonema 'Donna Carmen',Pink Aglaonema,1618,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1618
Aglaonema 'Dud Unyamanee',-,3363,https://www.nparks.gov.sg/florafaunaweb/flora/3/3/3363
Aglaonema 'King of Siam',-,6333,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6333
Aglaonema 'Lotus Delight',Pink Aglaonema,8204,https://www.nparks.gov.sg/florafaunaweb/flora/8/2/8204
Aglaonema nebulosum N.E. Br.,Mata Bisul,5566,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5566
Aglaonema nitidum (Jack) Kunth,Burmese Evergreen,1622,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1622
Aglaonema nitidum × commutatum 'Tricolor',-,1620,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1620
Aglaonema nitidum 'Ernesto's Favorite',-,1616,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1616
Aglaonema nitidum 'Silver Queen',Chinese Evergreen,1623,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1623
Aglaonema nitidum var. curtisii,-,1624,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1624
Aglaonema 'Pride of Sumatra',-,1625,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1625
Aglaonema 'Red Impressa',-,6755,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6755
Aglaonema 'Red Master',-,7214,https://www.nparks.gov.sg/florafaunaweb/flora/7/2/7214
Aglaonema rex,-,1626,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1626
Aglaonema 'Sexy Red',-,5935,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5935
Aglaonema 'Siam Aurora',Red Aglaonema,4878,https://www.nparks.gov.sg/florafaunaweb/flora/4/8/4878
Aglaonema simplex (Blume) Blume,Malayan Sword,3740,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3740
Aglaonema 'White Stem',-,1610,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1610
Agrostistachys sessilifolia (Kurz) Pax & K.Hoffm.,Bornean Jenjulong,1628,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1628
Aidia densiflora (Wall.) Masam.,-,3514,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3514
Ailanthus integrifolia Lam.,White Siris,6813,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6813
Ajuga reptans 'Burgundy Glow',Carpet Bugleweed,1629,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1629
Alangium longiflorum var. hirsutum (Bloemb.) W.J.de Wilde & Duyfjes,-,8607,https://www.nparks.gov.sg/florafaunaweb/flora/8/6/8607
Alangium ridleyi King,Mentulang Daun Lebar,2701,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2701
Albizia niopoides (Benth.) Burkart var. niopoides,-,6280,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6280
Albizia splendens Miq.,Keredas,3519,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3519
Albuca bracteata,False Sea Onion,6825,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6825
Albuca namaquensis Baker,-,8070,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8070
Aleurites moluccanus (L.) Willd.,Candle Nut,2702,https://www.nparks.gov.sg/florafaunaweb/flora/2/7/2702
Allagoptera campestris,Buri,2585,https://www.nparks.gov.sg/florafaunaweb/flora/2/5/2585
Allamanda blanchetii A.DC.,Purple Allamanda,1302,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1302
Allamanda cathartica 'Alba',White Trumpet,1305,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1305
Allamanda cathartica 'Cherries Jubilee',紫蝉,1306,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1306
Allamanda cathartica 'Jamaican Sunset',-,1307,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1307
Allamanda cathartica L.,Allamanda,1303,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1303
Allamanda cathartica 'Stansill's Double',Double-petalled Golden Trumpet,1304,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1304
Allamanda 'Cherry Ripe',-,3520,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3520
Allamanda oenotherifolia Pohl,Bush Allamanda,1308,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1308
Allamanda oenotherifolia 'Silver',Golden Trumpet Bush,1309,https://www.nparks.gov.sg/florafaunaweb/flora/1/3/1309
Allamanda schottii 'Grey Supreme',Bush Allamanda,1630,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1630
Allium ampeloprasum L.,Leek,6523,https://www.nparks.gov.sg/florafaunaweb/flora/6/5/6523
Allium ascalonicum L.,Shallot,5929,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5929
Allium cepa L.,Onion,5931,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5931
Allium chinense G.Don,Chinese Onion,6186,https://www.nparks.gov.sg/florafaunaweb/flora/6/1/6186
Allium fistulosum L.,Spring Onion,4944,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4944
Allium hookeri Thwaites,Chinese Garlic Chives,8233,https://www.nparks.gov.sg/florafaunaweb/flora/8/2/8233
Allium sativum L.,Garlic,3522,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3522
Allium tuberosum Rottler ex Spreng.,Garlic Chives,4947,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4947
Allophylus cobbe (L.) Reausch.,Tit-berry,1631,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1631
Alluaudia procera (Drake) Drake,Madagascan Ocotillo,6082,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6082
Alocasia × mortfontanensis André,African Mask,1642,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1642
Alocasia 'Black Velvet',Dwarf Alocasia,6702,https://www.nparks.gov.sg/florafaunaweb/flora/6/7/6702
Alocasia cucullata (Lour.) G. Don 'Crinkles',Crinkle-leaf Alocasia,1637,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1637
Alocasia cucullata (Lour.) G.Don,Chinese Taro,1632,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1632
Alocasia cucullata 'Moon Valley',-,6434,https://www.nparks.gov.sg/florafaunaweb/flora/6/4/6434
Alocasia lauterbachiana (Engl.) A. Hay,Alocasia,4921,https://www.nparks.gov.sg/florafaunaweb/flora/4/9/4921
Alocasia longiloba Miq.,Keladi Rimau,1633,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1633
Alocasia macrorrhizos (L.) G.Don,Giant Taro,1636,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1636
Alocasia macrorrhizos 'Lutea',Upright Golden Elephant Ear,1641,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1641
Alocasia macrorrhizos 'Metallica',Elephant's Ear,1638,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1638
Alocasia macrorrhizos 'New Guinea Gold',Elephant Ear,8001,https://www.nparks.gov.sg/florafaunaweb/flora/8/0/8001
Alocasia macrorrhizos 'Stingray',Elephant Ear,1639,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1639
Alocasia macrorrhizos 'Variegata',-,1640,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1640
Alocasia portei Schott,-,5480,https://www.nparks.gov.sg/florafaunaweb/flora/5/4/5480
Alocasia reversa,-,1634,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1634
Alocasia 'Silver Dragon',-,8882,https://www.nparks.gov.sg/florafaunaweb/flora/8/8/8882
Aloe aculeata,-,6826,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6826
Aloe arborescens (non-typical form),Tree Aloe,6827,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6827
Aloe ferox,Bitter Aloe,6828,https://www.nparks.gov.sg/florafaunaweb/flora/6/8/6828
Aloe fragilis Lavranos & Röösli,-,6255,https://www.nparks.gov.sg/florafaunaweb/flora/6/2/6255
Aloe humilis Mill.,Hedgehog Aloe,8271,https://www.nparks.gov.sg/florafaunaweb/flora/8/2/8271
Aloe ibitiensis H. Perrier,-,6339,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6339
Aloe ramosissima Pillans,Maiden's Quiver Tree,3526,https://www.nparks.gov.sg/florafaunaweb/flora/3/5/3526
Aloe vera (L.) Burm.f.,Aloe,1643,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1643
Aloiampelos tenuior (Haw.) Klopper & Gideon F.Sm.,iKhalana,3757,https://www.nparks.gov.sg/florafaunaweb/flora/3/7/3757
Aloidendron barberae (Dyer) Klopper & Gideon F.Sm.,Tree Aloe,6070,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6070
Aloysia citriodora Palau,Lemon verbena,5509,https://www.nparks.gov.sg/florafaunaweb/flora/5/5/5509
Aloysia virgata (Ruiz & Pav.) Juss.,Sweet Almond Verbena,1735,https://www.nparks.gov.sg/florafaunaweb/flora/1/7/1735
Alphonsea elliptica Hook.f. & Thomson,Terbak,8688,https://www.nparks.gov.sg/florafaunaweb/flora/8/6/8688
Alpinia aquatica (Retz.) Roscoe.,Aquatic Ginger,5048,https://www.nparks.gov.sg/florafaunaweb/flora/5/0/5048
Alpinia caerulea (R.Br.) Benth.,Native Ginger,5712,https://www.nparks.gov.sg/florafaunaweb/flora/5/7/5712
Alpinia conchigera Griff.,Lengkuas ranting,5272,https://www.nparks.gov.sg/florafaunaweb/flora/5/2/5272
Alpinia formosana K.Schum.,Pinstripe Ginger,6032,https://www.nparks.gov.sg/florafaunaweb/flora/6/0/6032
Alpinia foxworthyi Ridl.,-,5911,https://www.nparks.gov.sg/florafaunaweb/flora/5/9/5911
Alpinia galanga,Lengkuas,1644,https://www.nparks.gov.sg/florafaunaweb/flora/1/6/1644
Alpinia hainanensis K. Schum.,草豆蔻,6327,https://www.nparks.gov.sg/florafaunaweb/flora/6/3/6327
Alpinia luteocarpa,Red Bamboo Ginger,3425,https://www.nparks.gov.sg/florafaunaweb/flora/3/4/3425
Alpinia mutica Roxb.,Orchid Ginger,8210,https://www.nparks.gov.sg/florafaunaweb/flora/8/2/8210
